"ID","CLASS","METHOD","LABEL","OD","THICK","WIDTH","DEPTH","WEBTHICK","FLANGETHICK","ROOTRADIUS","ROOTCHAMFER","TOERADIUS","RADIUS","LIP","FLANGE","EXT"
"#X#103","SZGEShape-UniversalI","Make","360UB44.7",,,"171","352","6.9","9.7","11.4",,,,,,
"#X#104","SZGEShape-UniversalI","Make","310UB46.2",,,"166","307","6.7","11.8","11.4",,,,,,
"#X#105","SZGEShape-UniversalI","Make","310UB40.4",,,"165","304","6.1","10.2","11.4",,,,,,
"#X#106","SZGEShape-UniversalI","Make","310UB32.0",,,"149","298","5.5","8","13",,,,,,
"#X#107","SZGEShape-UniversalI","Make","250UB37.3",,,"146","256","6.4","10.9","8.9",,,,,,
"#X#108","SZGEShape-UniversalI","Make","250UB31.4",,,"146","252","6.1","8.6","8.9",,,,,,
"#X#109","SZGEShape-UniversalI","Make","250UB25.7",,,"124","248","5","8","12",,,,,,
"#X#110","SZGEShape-UniversalI","Make","200UB29.8",,,"134","207","6.3","9.6","8.9",,,,,,
"#X#111","SZGEShape-UniversalI","Make","200UB25.4",,,"133","203","5.8","7.8","8.9",,,,,,
"#X#112","SZGEShape-UniversalI","Make","200UB22.3",,,"133","202","5","7","8.9",,,,,,
"#X#113","SZGEShape-UniversalI","Make","200UB18.2",,,"99","198","4.5","7","11",,,,,,
"#X#114","SZGEShape-UniversalI","Make","180UB22.2",,,"90","179","6","10","8.9",,,,,,
"#X#115","SZGEShape-UniversalI","Make","180UB18.1",,,"90","175","5","8","8.9",,,,,,
"#X#116","SZGEShape-UniversalI","Make","180UB16.1",,,"90","173","4.5","7","8.9",,,,,,
"#X#117","SZGEShape-UniversalI","Make","150UB18.0",,,"75","155","6","9.5","8",,,,,,
"#X#118","SZGEShape-UniversalI","Make","150UB14.0",,,"75","150","5","7","8",,,,,,
"#X#119","SZGEShape-UniversalI","Make","310UC158",,,"311","327","15.7","25","16.5",,,,,,
"#X#120","SZGEShape-UniversalI","Make","310UC137",,,"309","321","13.8","21.7","16.5",,,,,,
"#X#121","SZGEShape-UniversalI","Make","310UC118",,,"307","315","11.9","18.7","16.5",,,,,,
"#X#122","SZGEShape-UniversalI","Make","310UC96.8",,,"305","308","9.9","15.4","16.5",,,,,,
"#X#123","SZGEShape-UniversalI","Make","250UC89.5",,,"256","260","10.5","17.3","14",,,,,,
"#X#124","SZGEShape-UniversalI","Make","250UC72.9",,,"254","254","8.6","14.2","14",,,,,,
"#X#125","SZGEShape-UniversalI","Make","200UC59.3",,,"205","210","9.3","14.2","11.4",,,,,,
"#X#126","SZGEShape-UniversalI","Make","200UC52.2",,,"204","206","8","12.5","11.4",,,,,,
